id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
11508,Amazing Luxurious Apt-Palermo Soho,42762,Candela,,Palermo,-34.58184,-58.42415,Entire home/apt,9823,3,30,2022-07-17,0.24,1,314,3,
14222,"RELAX IN HAPPY HOUSE - PALERMO, BUENOS AIRES",87710233,María,,Palermo,-34.58617,-58.41036,Entire home/apt,3728,7,98,2022-08-14,0.79,3,324,8,
118877,Entire Studio/apt in Buenos Aires,600320,Roxana,,Palermo,-34.57734,-58.4379,Entire home/apt,5687,2,24,2022-06-21,0.18,2,174,5,
14711,SPECTACULAR ANCIENT HOUSE,57770,Cintia,,San Nicolas,-34.60786,-58.37211,Entire home/apt,17370,1,0,,,1,365,0,
120874,Great apt 1 Bedroom - 1.5 Bath /Recoleta,530261,Luciano,,Recoleta,-34.58991,-58.39931,Entire home/apt,6514,14,10,2022-04-27,0.07,27,295,1,
15074,ROOM WITH RIVER SIGHT,59338,Monica,,Nuñez,-34.53892,-58.46599,Private room,4343,29,0,,,1,365,0,
122907,Spotless entire apt. Ideal location,426566,Egle,,Almagro,-34.61982,-58.4166,Entire home/apt,3584,5,29,2022-08-31,0.21,8,324,8,
16695,DUPLEX LOFT 2 - SAN TELMO,64880,Elbio Mariano,,Monserrat,-34.61439,-58.37611,Entire home/apt,7238,2,46,2019-11-30,0.33,9,175,0,
17451,A terrace in Buenos Aires,67732,Karen,,Belgrano,-34.55878,-58.46476,Private room,4922,2,0,,,1,87,0,
129681,Studio Rojo Design Belgrano - 2 Pax,638545,Luisa,,Belgrano,-34.55601,-58.45717,Entire home/apt,4125,7,14,2018-08-11,0.13,3,3,0,
129932,Palermo View Studio at Palermo Uno Tower,319901,Ralf,,Palermo,-34.5813,-58.42488,Entire home/apt,8788,4,119,2022-08-08,0.88,24,310,6,
130248,Small charmy and fully at Palermo,641573,Paula,,Palermo,-34.57717,-58.41138,Entire home/apt,2895,2,91,2022-09-16,0.78,8,304,13,
17993,TEMPORARY RENT CUTE APARTMENT IN MICROCENTRO,68689,Maritza,,San Nicolas,-34.6037,-58.37888,Private room,4922,3,8,2022-03-12,0.06,1,0,1,
130275,Van Gogh s apart at Palermo,641573,Paula,,Palermo,-34.5771,-58.41134,Entire home/apt,1737,2,16,2022-02-17,0.14,8,1,1,
18007,apartament in San Telmo,69404,Marcelo,,Constitucion,-34.61751,-58.37814,Entire home/apt,50663,1,0,,,1,365,0,
20062,PENTHOUSE / best city views ! /terrace & pool/ 2bd,75891,Sergio,,Palermo,-34.581848,-58.441605,Entire home/apt,16192,2,262,2022-09-09,1.74,4,48,33,
130424,Palermo Hollywood Studio Apt - 4th floor - 33 m2,642182,Aike,,Palermo,-34.57896,-58.43448,Entire home/apt,5790,7,9,2012-12-31,0.07,1,173,0,
131145,DONDE VIVI (1) Rooms for Rent .,645495,Viviana,,Almagro,-34.60728,-58.41949,Private room,1500,3,39,2022-04-19,0.29,1,292,1,
131807,"Belgrano R, Private Room, Sunny",648231,Vero,,Villa Ortuzar,-34.57546,-58.4688,Private room,5066,1,0,,,1,365,0,
132298,Urban Escape ★ Studio with great views,319901,Ralf,,Recoleta,-34.59495,-58.4044,Entire home/apt,7961,5,118,2022-06-24,0.88,24,313,6,
133043,Great Studio - Roof top Pool,530261,Luciano,,Recoleta,-34.59234,-58.39956,Entire home/apt,7238,14,20,2022-08-05,0.19,27,327,3,
133654,Modern and Comfortable. Central location.Fast WiFi,426566,Egle,,Almagro,-34.62053,-58.41653,Entire home/apt,3298,7,59,2022-08-19,0.43,8,345,12,
136986,Buena Vista - Panorama Riverviews ★★★★★,319901,Ralf,,Palermo,-34.58114,-58.42513,Entire home/apt,13028,3,155,2022-09-17,1.14,24,222,20,
137017,Soho Sunset studio  with amazing views.,319901,Ralf,,Palermo,-34.58277,-58.42539,Entire home/apt,8685,4,211,2022-09-02,1.57,24,261,18,
20429,Hermoso  y acogedor departamento.,77065,Marcelo,,Constitucion,-34.6226,-58.38704,Entire home/apt,5066,15,0,,,1,89,0,
23798,STUNNING-LIGHT-SPACIOUS LOFT STYLE APT- SAN TELMO,408551,Guille,,Monserrat,-34.61266,-58.37479,Entire home/apt,8251,3,51,2022-08-15,0.40,13,134,3,
24713,"BEAUTIFUL, EXCELLENT UBICATION/OBELISK  5 STARS!!!",100743,Griselda,,San Nicolas,-34.60254,-58.37811,Entire home/apt,4652,2,362,2022-08-30,3.13,3,348,19,
24763,Amazing LOFTpalermo: contemporary and cool,101049,Sebastian,,Chacarita,-34.58494,-58.44419,Entire home/apt,5935,7,35,2022-08-01,0.25,1,89,3,
138690,STUDIO RECOLETA /PZA FRANCIA/UBA/MUSEOS/METRO,676972,Fabiana,,Recoleta,-34.59101,-58.39455,Entire home/apt,4343,3,248,2022-08-22,1.82,17,163,12,
27631,Apartment for rent in Recoleta,119446,Inés,,Recoleta,-34.59272,-58.3894,Entire home/apt,4343,2,98,2021-01-23,0.66,1,332,0,
28244,Loft in Palermo Hollywood.Pool 617,119613,Marcos,,Palermo,-34.57709,-58.43665,Entire home/apt,7238,7,29,2022-06-18,0.28,7,17,7,
143173,HabitacionPrivate Rooms in Congreso,499278,Nicolas,,Balvanera,-34.60929,-58.4031,Private room,4343,5,0,,,1,365,0,
29983,Depto de 1 ambiente en Recoleta,129235,Carolina,,Recoleta,-34.59792,-58.39091,Entire home/apt,10179,2,0,,,1,365,0,
31216,EXCELLENT APARTMENT IN BELGRANO,134014,Marian,,Belgrano,-34.55948,-58.44528,Entire home/apt,8540,7,5,2022-07-30,0.94,2,360,5,
143663,Apartement Buenos Aires,696693,Marcela,,Monserrat,-34.61428,-58.3865,Entire home/apt,6514,5,0,,,1,358,0,
144192,Beautiful apartment in Buenos Aires,698994,Ruben,,Nueva Pompeya,-34.64892,-58.41005,Private room,7238,1,0,,,1,365,0,
31469,Beautiful Home w/ Garden at Racetrack of Palermo,135120,Flor,,Palermo,-34.5682,-58.43402,Entire home/apt,8685,3,13,2022-09-17,0.14,3,239,2,
144827,LEMON TREE ★ 1 bedroom with great views,319901,Ralf,,Recoleta,-34.59491,-58.40497,Entire home/apt,7238,4,51,2022-06-02,0.38,24,301,6,
31514,BEAUTY DUPLEX LOFT #4 SAN TELMO,64880,Elbio Mariano,,Monserrat,-34.61494,-58.37517,Entire home/apt,7238,2,31,2022-05-19,0.22,9,311,3,
31920,Beautifull apartment in Belgrano!,137373,Nancy,,Belgrano,-34.5644,-58.4606,Entire home/apt,8685,30,0,,,1,365,0,
