id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6499,Belém 1 Bedroom Historical Apartment,14455,Bruno,Lisboa,Belm,38.6975,-9.19768,Entire home/apt,69,3,44,2022-08-09,0.45,1,195,15,
36664873,Casa Ferry Holiday House Lisbon 15min & Beach 8min,275575455,Joana,Lisboa,Belm,38.67128,-9.23064,Entire home/apt,95,2,21,2022-09-03,0.56,1,72,8,42622/AL
25345952,"La maison de la plage, et de la tranquillité",175971197,Ramiro,Lourinh,Lourinh e Atalaia,39.30664,-9.3376,Entire home/apt,65,5,37,2022-08-18,0.89,2,269,16,Exempt
25659,Heart of Alfama Lisbon Center - Cœur de l'Alfama,107347,Ellie,Lisboa,Santa Maria Maior,38.71241,-9.12706,Entire home/apt,54,2,166,2022-09-11,1.62,1,304,45,56539/AL.
28283003,Apartamento no Coração da Aldeia/ Flat to Rent,213594711,Jorge,Lourinh,Lourinh e Atalaia,39.308548,-9.338993,Entire home/apt,59,3,12,2022-08-29,0.27,3,170,5,84329/AL
589780527953985801,La Caz O Soleil de Lapa (sans cuisine),22145635,Christine,Azambuja,Aveiras de Cima,39.1659,-8.88479,Private room,25,1,8,2022-08-31,2.14,1,338,8,Exempt
29248,Apartamento Alfama com vista para o rio!,125768,Bárbara,Lisboa,Santa Maria Maior,38.71082,-9.12719,Entire home/apt,90,5,353,2022-09-05,2.48,1,8,22,23535/AL
42095537,New Inn Cacilhas - Shared Comfort Bed#2,78069703,Joana,Lisboa,Estrela,38.68358,-9.15259,Shared room,14,3,12,2022-08-24,1.23,4,337,12,107023/AL
19661763,Bunkbed room | Bed 1 | Coyote surfclub Ericeira,122243057,Simão,Mafra,Santo Isidoro,38.98794,-9.42085,Shared room,25,2,47,2022-04-05,0.75,7,256,5,49895/AL
6133452,Alexandre Manuel,31817136,Alexandre,Lisboa,Estrela,38.68263,-9.15855,Shared room,30,1,5,2015-10-25,0.06,1,316,0,
29396,Alfama Hill - Boutique apartment,126415,Mónica,Lisboa,Santa Maria Maior,38.71156,-9.12987,Entire home/apt,60,2,339,2022-09-09,2.70,1,268,56,28737/AL
29720,TheHOUSE - Your luxury home,128075,Francisco,Lisboa,Estrela,38.71108,-9.15979,Entire home/apt,1143,2,82,2022-09-05,0.58,2,313,23,55695/AL
661432668682923034,"Movie Lovers House.
Calmo e perto de tudo.",467079173,Pedro,Lisboa,Estrela,38.6841093,-9.1524529,Entire home/apt,140,4,6,2022-08-19,3.21,1,313,6,128997/AL
567287540530945227,"Cascais, Fabulous apartment in Luxury Condominium,",185689002,GAL - Gestão De Alojamento Local,Cascais,Carcavelos e Parede,38.68436,-9.3511,Entire home/apt,174,2,10,2022-08-26,1.75,20,24,10,123277/AL
29915,Modern and Cool Apartment in Lisboa,128890,Sara,Lisboa,Avenidas Novas,38.74571,-9.15264,Entire home/apt,60,5,47,2021-12-21,0.32,1,203,4,85851/AL.
588224448804923698,"Best in Lisbon area. Large room. 2 beds, 5G wifi",7974658,Kumar,Lisboa,Estrela,38.684052,-9.154102,Private room,29,1,29,2022-09-12,5.37,2,209,29,56538/AL
641380873585993064,Sea View 5 minutes from Baleal,248045201,Laura Jay,Lourinh,So Bartolomeu dos Galegos e Moledo,39.331122,-9.2713687,Private room,52,1,19,2022-09-11,6.20,2,360,19,Exempt
33348,Happy Season,144484,Bruno,Lisboa,Lumiar,38.76427,-9.15301,Private room,40,1,2,2011-07-22,0.01,2,0,0,
