id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6369,"Rooftop terrace room ,  ensuite bathroom",13660,Simon,Chamartín,Hispanoamérica,40.45724,-3.67688,Private room,77,3,99,2022-07-08,0.65,1,56,19,
21853,Bright and airy room,83531,Abdel,Latina,Cármenes,40.40381,-3.7413,Private room,31,4,33,2018-07-15,0.34,2,255,0,
24805,Gran Via Studio Madrid,346366726,Alvaro,Centro,Universidad,40.42183,-3.70529,Entire home/apt,92,5,24,2022-08-25,0.25,1,80,12,
26825,Single Room whith private Bathroom,114340,Agustina,Arganzuela,Legazpi,40.38975,-3.69018,Private room,26,2,166,2022-09-04,1.10,1,339,17,
30320,Great Vacational Apartments,130907,Dana,Centro,Sol,40.41476,-3.70418,Entire home/apt,120,5,171,2021-10-09,1.15,3,353,1,
363476,PUERTA DEL SOL-QUIET DOWNTOWN,1836617,Bibiana,Centro,Sol,40.41676,-3.70682,Private room,49,2,475,2022-09-07,3.74,1,271,65,
30478,Nice little room @ La Latina,130502,Patricia,Centro,Embajadores,40.40949,-3.70477,Private room,20,6,6,2021-07-31,0.05,1,287,0,
30959,Beautiful loft in Madrid Center,132883,Angela,Centro,Embajadores,40.41259,-3.70105,Entire home/apt,54,3,8,2017-05-30,0.09,1,0,0,
40718,COZY APARTMENT CIBELES-GRAN VIA-PTA DEL SOL-CHUECA,34217435,Luis,Centro,Justicia,40.41969,-3.69736,Entire home/apt,84,2,127,2022-07-18,0.86,10,293,9,
40916,Holiday Apartment Madrid Center,130907,Dana,Centro,Universidad,40.42247,-3.70577,Entire home/apt,90,5,49,2021-12-11,0.34,3,314,1,
47957,"Amazing Apartment, Salamanca Distri",218515,Sergio,Salamanca,Goya,40.42792,-3.67682,Entire home/apt,82,10,58,2022-08-28,0.41,2,1,3,
371532,"Fantastic Location. Great apartment, Opera",1871034,Olga,Centro,Palacio,40.41944,-3.70945,Entire home/apt,85,2,100,2022-05-06,0.79,1,103,21,
62423,MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID,303845,Arturo,Centro,Justicia,40.41884,-3.69655,Private room,49,1,136,2022-07-08,2.57,2,343,42,
70073,Adorable Apartment Malasaña-Gran Via,353738,Raquel,Centro,Universidad,40.42252,-3.7025,Entire home/apt,85,28,28,2022-07-25,0.21,4,301,9,
375472,Host family in the center of Madrid,1888816,Margarita,Arganzuela,Acacias,40.40334,-3.70254,Private room,29,6,148,2021-11-09,1.21,4,0,1,
70310,"Heart of Malasaña Cozy, Quiet & Sunny Apartment",353738,Raquel,Centro,Universidad,40.42252,-3.7025,Entire home/apt,66,28,26,2022-07-11,0.19,4,275,4,
74352,Cozy apartment in the coolest  neighbourhood,391014,Juan,Centro,Embajadores,40.40864,-3.70884,Entire home/apt,80,8,5,2019-08-04,0.08,1,223,0,
